TERM,term,CRN,Course,ATTR,TITLE,DESCRIPTION,MEETINGDAYS,BLDG_ROOM,CLAS_DAYS,CLASTIME,CLAS_BLDGROOM,CMT1_DAYS,CMT1TIME,CMT1_BLDGROOM,SWAP_ENRL,SWAP_MAXENRL,PROJECTEDENRL,INST_LIN,INSTRUCTOR,XLST_GRP,XLST_CRSE,COLLEG,Sustainable,Justification,Keyword Match,Course WS Match,WS/Sustainable Faculty Match,Prev Identified Match,CC Encounter Match
202440,fall 2024,44323,ART 090-012,,Can Art Inspire Climate Change,"Big Questions Seminars focus on complex questions that have no simple or obvious answers. These can include, but are not limited to, the deep enduring questions that humanity has grappled with for ages or emerging questions of today.",F,WB 242,,-, ,,-, ,20,18,20,801351065,"Murphy, Deirdre",AE,EVST 090-012 (44949),Arts & Sciences,,,,,,,
202440,fall 2024,44949,EVST 090-012,,Can Art Inspire Climate Change,"In this immersive course, students will explore visual communication at the intersection of art and climate change. Through interdisciplinary research, experiential learning, and creative art-making practices, students will delve into the complexities of conveying climate-related topics with mixed media techniques and field note sketchbooks utilizing sustainable materials. Field trips, gallery visits and maker space workshops form the core components of this creative inquiry class supplemented with pop-up lectures from professors in Earth Sciences, Biology, and contemporary professional artists. This class offers opportunities for firsthand observation, study and creation, fostering a nuanced understanding of the relationship between art, nature and science in addressing climate change.",F,WB 242,,-, ,,-, ,20,18,20,801351065,"Murphy, Deirdre",AE,ART 090-012 (44323),Arts & Sciences,,,,,,,
202510,spring 2025,10490,BIOE 343-010,,Integrated Biotechnology Lab,"Biosafety, sterilization, media formulation, biochemical and enzyme assays, recombinant DNA technique, protein and DNA isolation and purification, for microbial fermentation and animal cell culture. Integration of biotechnology techniques for biopharmaceutical production. Consent of instructor required.",M,CU 216,,-, ,,-, ,18,35,20,804727538,"Abrantes De O Seabra Nunes, Ines",AE,CHE 346-010 (12487),Engineering,,,,,,,
202445,winter 2024,50067,ENGL 091-011,,SpTop:Killers Film & Streaming,"Recently, the biographical narrative, Dahmer – Monster: The Jeffrey Dahmer Story surpassed one billion hours viewed, a feat that puts the docudrama as one of the most streamed series on Netflix. Given that the narrative is based on the real-life events of Jeffrey Dahmer’s life and the killings of his victims, the show received backlash from the families of the victims as well as the general public. In response, our course interrogates the ethics of portraying serial violence in dramatic and repetitive representations. In watching Silence of the Lambs (1991; Orion Pictures), Mindhunter (2017; Netflix), & Dahmer – Monster: The Jeffrey Dahmer Story (2022; Netflix), this course will ask the question, how should the violence of these horrible crimes, often based on real-life events, be portrayed, if at all? What does it mean to queer violent offenders in these dramatized realms? Should the ethos of the storytellers impact our intake as we consider whether the form and iteration of violent offenders is art? What draws so many viewers to watch, listen, and read about serial violence in the first place? Our own writing and readings of secondary sources will parse through these complicated questions.",,ONLINE ,,-, ,,-, ,15,15,15,800089648,"Bailey, Renee",AE,FILM 091-011 (50068),Arts & Sciences,,,,,,,
202445,winter 2024,50068,FILM 091-011,,SpTop:Killers Film & Streaming,"Recently, the biographical narrative, Dahmer – Monster: The Jeffrey Dahmer Story surpassed one billion hours viewed, a feat that puts the docudrama as one of the most streamed series on Netflix. Given that the narrative is based on the real-life events of Jeffrey Dahmer’s life and the killings of his victims, the show received backlash from the families of the victims as well as the general public. In response, our course interrogates the ethics of portraying serial violence in dramatic and repetitive representations. In watching Silence of the Lambs (1991; Orion Pictures), Mindhunter (2017; Netflix), & Dahmer – Monster: The Jeffrey Dahmer Story (2022; Netflix), this course will ask the question, how should the violence of these horrible crimes, often based on real-life events, be portrayed, if at all? What does it mean to queer violent offenders in these dramatized realms? Should the ethos of the storytellers impact our intake as we consider whether the form and iteration of violent offenders is art? What draws so many viewers to watch, listen, and read about serial violence in the first place? Our own writing and readings of secondary sources will parse through these complicated questions.",,ONLINE ,,-, ,,-, ,15,15,15,800089648,"Bailey, Renee",AE,ENGL 091-011 (50067),Arts & Sciences,,,,,,,
202440,fall 2024,44896,ART 221-010,"CC, HE, HU, W",Global Contemporary Art,"Examines art and theory since World War II through the present in the global context. Topics include the development of abstract expressionism; conceptual art and the aesthetics of 1960s-era social movements; the politics of multiculturalism; the shift from contemporary to global in the 1990s; the rise of art biennials and the role of curators; post-Marxist and decolonial approaches to the arts; critical discourses on globalization; and issues of memory, trauma, migration, diaspora, and the environment. Includes museum and gallery visits.",M W,BC 220,,-, ,,-, ,23,16,16,893869997,"San Martin, Florencia",AF,GS 221-010 (44897),Arts & Sciences,,,,,,,
202510,spring 2025,13430,BIOE 343-060,,Integrated Biotechnology Lab,"Biosafety, sterilization, media formulation, biochemical and enzyme assays, recombinant DNA technique, protein and DNA isolation and purification, for microbial fermentation and animal cell culture. Integration of biotechnology techniques for biopharmaceutical production. Consent of instructor required.",W,IA C304,,-, ,,-, ,11,18,11,804727538,"Abrantes De O Seabra Nunes, Ines",AF,CHE 346-060 (13523),Engineering,,,,,,,
202420,summer 2024,21836,GS 017-011,,Democracy's Rise and Fall,The promise and perils of democracy from the ancient world to the present.,,ONLINE ,,-, ,,-, ,3,16,16,831591655,"Bulman, William",AF,HIST 017-011 (21835),Arts & Sciences,,,,,,,
202420,summer 2024,21835,HIST 017-011,,Democracy's Rise and Fall,The promise and perils of democracy from the ancient world to the present.,,ONLINE ,,-, ,,-, ,3,16,16,831591655,"Bulman, William",AF,GS 017-011 (21836),Arts & Sciences,,,,,,,
202445,winter 2024,50093,CPSY 472-010,,Human Development Across the Lifespan,An examination of prevailing theories of human growth and development across the lifespan. Examination of the interactive effect of various age groups upon one another. Particular emphasis on the helping relationships.,,ONLINE ,,-, ,,-, ,11,24,1,812777631,"Crall, Jennifer",AF,CPSY 472-Z10 (50015),Education,,,,,,,
202445,winter 2024,50015,CPSY 472-Z10,,Human Development Across the Lifespan,An examination of prevailing theories of human growth and development across the lifespan. Examination of the interactive effect of various age groups upon one another. Particular emphasis on the helping relationships.,,ONLINE ,,-, ,,-, ,11,24,24,812777631,"Crall, Jennifer",AF,CPSY 472-010 (50093),Education,,,,,,,
202440,fall 2024,44903,GS 017-010,,Democracy's Rise and Fall,The promise and perils of democracy from the ancient world to the present.,M W,NV 003,,-, ,,-, ,55,70,90,831591655,"Bulman, William",AG,HIST 017-010 (44902),Arts & Sciences,,,,,,,
